item_name,date,quantity_sold
Diclofenac 50mg (M01AB),2014-07-25,5
Diclofenac 50mg (M01AB),2014-07-26,4
Diclofenac 50mg (M01AB),2014-07-27,3
Diclofenac 50mg (M01AB),2014-07-28,2
Diclofenac 50mg (M01AB),2014-07-29,2
Diclofenac 50mg (M01AB),2014-07-30,1
Diclofenac 50mg (M01AB),2014-07-31,3
Diclofenac 50mg (M01AB),2014-08-01,2
Diclofenac 50mg (M01AB),2014-08-02,5
Diclofenac 50mg (M01AB),2014-08-03,5
Diclofenac 50mg (M01AB),2014-08-04,4
Diclofenac 50mg (M01AB),2014-08-05,2
Diclofenac 50mg (M01AB),2014-08-06,6
Diclofenac 50mg (M01AB),2014-08-07,3
Diclofenac 50mg (M01AB),2014-08-08,5
Diclofenac 50mg (M01AB),2014-08-09,4
Diclofenac 50mg (M01AB),2014-08-10,4
Diclofenac 50mg (M01AB),2014-08-11,8
Diclofenac 50mg (M01AB),2014-08-13,1
Diclofenac 50mg (M01AB),2014-08-14,4
Diclofenac 50mg (M01AB),2014-08-15,4
Diclofenac 50mg (M01AB),2014-08-16,8
Diclofenac 50mg (M01AB),2014-08-18,4
Diclofenac 50mg (M01AB),2014-08-19,11
Diclofenac 50mg (M01AB),2014-08-20,5
Diclofenac 50mg (M01AB),2014-08-21,3
Diclofenac 50mg (M01AB),2014-08-22,6
Diclofenac 50mg (M01AB),2014-08-23,3
Diclofenac 50mg (M01AB),2014-08-24,3
Diclofenac 50mg (M01AB),2014-08-25,4
Diclofenac 50mg (M01AB),2014-08-26,2
Diclofenac 50mg (M01AB),2014-08-27,3
Diclofenac 50mg (M01AB),2014-08-28,2
Diclofenac 50mg (M01AB),2014-08-29,6
Diclofenac 50mg (M01AB),2014-08-30,4
Diclofenac 50mg (M01AB),2014-09-01,3
Diclofenac 50mg (M01AB),2014-09-02,2
Diclofenac 50mg (M01AB),2014-09-03,7
Diclofenac 50mg (M01AB),2014-09-04,6
Diclofenac 50mg (M01AB),2014-09-05,4
Diclofenac 50mg (M01AB),2014-09-06,5
Diclofenac 50mg (M01AB),2014-09-07,2
Diclofenac 50mg (M01AB),2014-09-08,1
Diclofenac 50mg (M01AB),2014-09-09,6
Diclofenac 50mg (M01AB),2014-09-10,4
Diclofenac 50mg (M01AB),2014-09-12,3
Diclofenac 50mg (M01AB),2014-09-13,3
Diclofenac 50mg (M01AB),2014-09-14,1
Diclofenac 50mg (M01AB),2014-09-15,1
Diclofenac 50mg (M01AB),2014-09-16,4
Diclofenac 50mg (M01AB),2014-09-17,2
Diclofenac 50mg (M01AB),2014-09-18,3
Diclofenac 50mg (M01AB),2014-09-19,2
Diclofenac 50mg (M01AB),2014-09-20,4
Diclofenac 50mg (M01AB),2014-09-21,1
Diclofenac 50mg (M01AB),2014-09-22,3
Diclofenac 50mg (M01AB),2014-09-23,3
Diclofenac 50mg (M01AB),2014-09-24,6
Diclofenac 50mg (M01AB),2014-09-25,5
Diclofenac 50mg (M01AB),2014-09-26,4
Diclofenac 50mg (M01AB),2014-09-27,4
Diclofenac 50mg (M01AB),2014-09-29,7
Diclofenac 50mg (M01AB),2014-09-30,10
Diclofenac 50mg (M01AB),2014-10-01,2
Diclofenac 50mg (M01AB),2014-10-02,2
Diclofenac 50mg (M01AB),2014-10-03,4
Diclofenac 50mg (M01AB),2014-10-04,5
Diclofenac 50mg (M01AB),2014-10-05,2
Diclofenac 50mg (M01AB),2014-10-06,5
Diclofenac 50mg (M01AB),2014-10-07,3
Diclofenac 50mg (M01AB),2014-10-08,4
Diclofenac 50mg (M01AB),2014-10-09,1
Diclofenac 50mg (M01AB),2014-10-10,4
Diclofenac 50mg (M01AB),2014-10-11,3
Diclofenac 50mg (M01AB),2014-10-12,3
Diclofenac 50mg (M01AB),2014-10-13,2
Diclofenac 50mg (M01AB),2014-10-14,3
Diclofenac 50mg (M01AB),2014-10-15,1
Diclofenac 50mg (M01AB),2014-10-16,7
Diclofenac 50mg (M01AB),2014-10-17,3
Diclofenac 50mg (M01AB),2014-10-18,4
Diclofenac 50mg (M01AB),2014-10-19,3
Diclofenac 50mg (M01AB),2014-10-20,3
Diclofenac 50mg (M01AB),2014-10-21,2
Diclofenac 50mg (M01AB),2014-10-22,3
Diclofenac 50mg (M01AB),2014-10-23,1
Diclofenac 50mg (M01AB),2014-10-24,4
Diclofenac 50mg (M01AB),2014-10-25,2
Diclofenac 50mg (M01AB),2014-10-26,3
Diclofenac 50mg (M01AB),2014-10-27,8
Diclofenac 50mg (M01AB),2014-10-28,4
Diclofenac 50mg (M01AB),2014-10-29,5
Diclofenac 50mg (M01AB),2014-10-31,2
Diclofenac 50mg (M01AB),2014-11-01,2
Diclofenac 50mg (M01AB),2014-11-02,4
Diclofenac 50mg (M01AB),2014-11-03,7
Diclofenac 50mg (M01AB),2014-11-04,6
Diclofenac 50mg (M01AB),2014-11-06,6
Diclofenac 50mg (M01AB),2014-11-07,6
Diclofenac 50mg (M01AB),2014-11-08,12
Diclofenac 50mg (M01AB),2014-11-09,3
Diclofenac 50mg (M01AB),2014-11-10,1
Diclofenac 50mg (M01AB),2014-11-11,8
Diclofenac 50mg (M01AB),2014-11-12,3
Diclofenac 50mg (M01AB),2014-11-13,8
Diclofenac 50mg (M01AB),2014-11-14,5
Diclofenac 50mg (M01AB),2014-11-15,4
Diclofenac 50mg (M01AB),2014-11-16,2
Diclofenac 50mg (M01AB),2014-11-17,9
Diclofenac 50mg (M01AB),2014-11-18,3
Diclofenac 50mg (M01AB),2014-11-19,1
Diclofenac 50mg (M01AB),2014-11-20,4
Diclofenac 50mg (M01AB),2014-11-21,1
Diclofenac 50mg (M01AB),2014-11-22,6
Diclofenac 50mg (M01AB),2014-11-23,4
Diclofenac 50mg (M01AB),2014-11-24,4
Diclofenac 50mg (M01AB),2014-11-25,5
Diclofenac 50mg (M01AB),2014-11-26,3
Diclofenac 50mg (M01AB),2014-11-27,7
Diclofenac 50mg (M01AB),2014-11-28,3
Diclofenac 50mg (M01AB),2014-11-29,3
Diclofenac 50mg (M01AB),2014-11-30,6
Diclofenac 50mg (M01AB),2014-12-01,4
Diclofenac 50mg (M01AB),2014-12-02,7
Diclofenac 50mg (M01AB),2014-12-03,4
Diclofenac 50mg (M01AB),2014-12-04,3
Diclofenac 50mg (M01AB),2014-12-05,2
Diclofenac 50mg (M01AB),2014-12-06,3
Diclofenac 50mg (M01AB),2014-12-07,5
Diclofenac 50mg (M01AB),2014-12-08,1
Diclofenac 50mg (M01AB),2014-12-09,1
Diclofenac 50mg (M01AB),2014-12-10,3
Diclofenac 50mg (M01AB),2014-12-11,2
Diclofenac 50mg (M01AB),2014-12-12,6
Diclofenac 50mg (M01AB),2014-12-13,1
Diclofenac 50mg (M01AB),2014-12-14,10
Diclofenac 50mg (M01AB),2014-12-15,5
Diclofenac 50mg (M01AB),2014-12-16,6
Diclofenac 50mg (M01AB),2014-12-17,3
Diclofenac 50mg (M01AB),2014-12-18,5
Diclofenac 50mg (M01AB),2014-12-20,1
Diclofenac 50mg (M01AB),2014-12-21,4
Diclofenac 50mg (M01AB),2014-12-22,3
Diclofenac 50mg (M01AB),2014-12-23,10
Diclofenac 50mg (M01AB),2014-12-24,1
Diclofenac 50mg (M01AB),2014-12-25,8
Diclofenac 50mg (M01AB),2014-12-26,3
Diclofenac 50mg (M01AB),2014-12-27,7
Diclofenac 50mg (M01AB),2014-12-28,2
Diclofenac 50mg (M01AB),2014-12-29,2
Diclofenac 50mg (M01AB),2014-12-30,9
Diclofenac 50mg (M01AB),2014-12-31,6
Diclofenac 50mg (M01AB),2015-01-02,6
Diclofenac 50mg (M01AB),2015-01-03,9
Diclofenac 50mg (M01AB),2015-01-04,5
Diclofenac 50mg (M01AB),2015-01-05,2
Diclofenac 50mg (M01AB),2015-01-06,3
Diclofenac 50mg (M01AB),2015-01-08,2
Diclofenac 50mg (M01AB),2015-01-09,3
Diclofenac 50mg (M01AB),2015-01-10,6
Diclofenac 50mg (M01AB),2015-01-11,3
Diclofenac 50mg (M01AB),2015-01-12,2
Diclofenac 50mg (M01AB),2015-01-13,10
Diclofenac 50mg (M01AB),2015-01-14,3
Diclofenac 50mg (M01AB),2015-01-15,7
Diclofenac 50mg (M01AB),2015-01-16,6
Diclofenac 50mg (M01AB),2015-01-17,7
Diclofenac 50mg (M01AB),2015-01-18,4
Diclofenac 50mg (M01AB),2015-01-19,5
Diclofenac 50mg (M01AB),2015-01-20,4
Diclofenac 50mg (M01AB),2015-01-21,4
Diclofenac 50mg (M01AB),2015-01-22,4
Diclofenac 50mg (M01AB),2015-01-23,4
Diclofenac 50mg (M01AB),2015-01-24,4
Diclofenac 50mg (M01AB),2015-01-25,4
Diclofenac 50mg (M01AB),2015-01-26,8
Diclofenac 50mg (M01AB),2015-01-27,3
Diclofenac 50mg (M01AB),2015-01-28,3
Diclofenac 50mg (M01AB),2015-01-29,4
Diclofenac 50mg (M01AB),2015-01-30,1
Diclofenac 50mg (M01AB),2015-01-31,8
Diclofenac 50mg (M01AB),2015-02-01,4
Diclofenac 50mg (M01AB),2015-02-02,6
Diclofenac 50mg (M01AB),2015-02-03,3
Diclofenac 50mg (M01AB),2015-02-04,2
Diclofenac 50mg (M01AB),2015-02-05,2
Diclofenac 50mg (M01AB),2015-02-06,3
Diclofenac 50mg (M01AB),2015-02-07,2
Diclofenac 50mg (M01AB),2015-02-08,1
Diclofenac 50mg (M01AB),2015-02-09,3
Diclofenac 50mg (M01AB),2015-02-10,4
Diclofenac 50mg (M01AB),2015-02-11,3
Diclofenac 50mg (M01AB),2015-02-12,3
Diclofenac 50mg (M01AB),2015-02-13,6
Diclofenac 50mg (M01AB),2015-02-14,4
Diclofenac 50mg (M01AB),2015-02-15,12
Diclofenac 50mg (M01AB),2015-02-16,3
Diclofenac 50mg (M01AB),2015-02-17,5
Diclofenac 50mg (M01AB),2015-02-18,1
Diclofenac 50mg (M01AB),2015-02-19,2
Diclofenac 50mg (M01AB),2015-02-20,5
Diclofenac 50mg (M01AB),2015-02-21,3
Diclofenac 50mg (M01AB),2015-02-22,2
Diclofenac 50mg (M01AB),2015-02-23,5
Diclofenac 50mg (M01AB),2015-02-24,4
Diclofenac 50mg (M01AB),2015-02-25,7
Diclofenac 50mg (M01AB),2015-02-26,6
Diclofenac 50mg (M01AB),2015-02-27,6
Diclofenac 50mg (M01AB),2015-02-28,6
Diclofenac 50mg (M01AB),2015-03-01,9
Diclofenac 50mg (M01AB),2015-03-02,7
Diclofenac 50mg (M01AB),2015-03-03,8
Diclofenac 50mg (M01AB),2015-03-04,10
Diclofenac 50mg (M01AB),2015-03-05,6
Diclofenac 50mg (M01AB),2015-03-06,2
Diclofenac 50mg (M01AB),2015-03-07,3
Diclofenac 50mg (M01AB),2015-03-08,6
Diclofenac 50mg (M01AB),2015-03-09,2
Diclofenac 50mg (M01AB),2015-03-10,1
Diclofenac 50mg (M01AB),2015-03-11,11
Diclofenac 50mg (M01AB),2015-03-12,3
Diclofenac 50mg (M01AB),2015-03-13,4
Diclofenac 50mg (M01AB),2015-03-14,3
Diclofenac 50mg (M01AB),2015-03-15,3
Diclofenac 50mg (M01AB),2015-03-16,8
Diclofenac 50mg (M01AB),2015-03-17,5
Diclofenac 50mg (M01AB),2015-03-18,7
Diclofenac 50mg (M01AB),2015-03-19,2
Diclofenac 50mg (M01AB),2015-03-20,1
Diclofenac 50mg (M01AB),2015-03-21,10
Diclofenac 50mg (M01AB),2015-03-22,8
Diclofenac 50mg (M01AB),2015-03-23,2
Diclofenac 50mg (M01AB),2015-03-24,4
Diclofenac 50mg (M01AB),2015-03-25,4
Diclofenac 50mg (M01AB),2015-03-26,5
Diclofenac 50mg (M01AB),2015-03-27,3
Diclofenac 50mg (M01AB),2015-03-28,1
Diclofenac 50mg (M01AB),2015-03-29,6
Diclofenac 50mg (M01AB),2015-03-30,6
Diclofenac 50mg (M01AB),2015-03-31,5
Diclofenac 50mg (M01AB),2015-04-01,6
Diclofenac 50mg (M01AB),2015-04-02,5
Diclofenac 50mg (M01AB),2015-04-03,5
Diclofenac 50mg (M01AB),2015-04-04,4
Diclofenac 50mg (M01AB),2015-04-05,3
Diclofenac 50mg (M01AB),2015-04-06,7
Diclofenac 50mg (M01AB),2015-04-07,6
Diclofenac 50mg (M01AB),2015-04-08,4
Diclofenac 50mg (M01AB),2015-04-09,1
Diclofenac 50mg (M01AB),2015-04-10,10
Diclofenac 50mg (M01AB),2015-04-11,12
Diclofenac 50mg (M01AB),2015-04-13,7
Diclofenac 50mg (M01AB),2015-04-14,5
Diclofenac 50mg (M01AB),2015-04-15,2
Diclofenac 50mg (M01AB),2015-04-16,2
Diclofenac 50mg (M01AB),2015-04-17,9
Diclofenac 50mg (M01AB),2015-04-18,7
Diclofenac 50mg (M01AB),2015-04-19,9
Diclofenac 50mg (M01AB),2015-04-20,3
Diclofenac 50mg (M01AB),2015-04-21,6
Diclofenac 50mg (M01AB),2015-04-22,1
Diclofenac 50mg (M01AB),2015-04-23,4
Diclofenac 50mg (M01AB),2015-04-24,10
Diclofenac 50mg (M01AB),2015-04-25,5
Diclofenac 50mg (M01AB),2015-04-26,7
Diclofenac 50mg (M01AB),2015-04-27,3
Diclofenac 50mg (M01AB),2015-04-28,4
Diclofenac 50mg (M01AB),2015-04-29,2
Diclofenac 50mg (M01AB),2015-04-30,3
Diclofenac 50mg (M01AB),2015-05-01,5
Diclofenac 50mg (M01AB),2015-05-02,5
Diclofenac 50mg (M01AB),2015-05-03,7
Diclofenac 50mg (M01AB),2015-05-04,4
Diclofenac 50mg (M01AB),2015-05-05,3
Diclofenac 50mg (M01AB),2015-05-06,5
Diclofenac 50mg (M01AB),2015-05-07,2
Diclofenac 50mg (M01AB),2015-05-08,1
Diclofenac 50mg (M01AB),2015-05-09,4
Diclofenac 50mg (M01AB),2015-05-10,3
Diclofenac 50mg (M01AB),2015-05-11,3
Diclofenac 50mg (M01AB),2015-05-12,7
Diclofenac 50mg (M01AB),2015-05-13,8
Diclofenac 50mg (M01AB),2015-05-14,3
Diclofenac 50mg (M01AB),2015-05-15,3
Diclofenac 50mg (M01AB),2015-05-16,5
Diclofenac 50mg (M01AB),2015-05-17,5
Diclofenac 50mg (M01AB),2015-05-18,7
Diclofenac 50mg (M01AB),2015-05-19,3
Diclofenac 50mg (M01AB),2015-05-20,6
Diclofenac 50mg (M01AB),2015-05-21,6
Diclofenac 50mg (M01AB),2015-05-22,3
Diclofenac 50mg (M01AB),2015-05-23,6
Diclofenac 50mg (M01AB),2015-05-24,5
Diclofenac 50mg (M01AB),2015-05-25,10
Diclofenac 50mg (M01AB),2015-05-26,7
Diclofenac 50mg (M01AB),2015-05-27,4
Diclofenac 50mg (M01AB),2015-05-28,6
Diclofenac 50mg (M01AB),2015-05-29,6
Diclofenac 50mg (M01AB),2015-05-30,14
Diclofenac 50mg (M01AB),2015-05-31,3
Diclofenac 50mg (M01AB),2015-06-01,5
Diclofenac 50mg (M01AB),2015-06-02,8
Diclofenac 50mg (M01AB),2015-06-03,5
Diclofenac 50mg (M01AB),2015-06-04,2
Diclofenac 50mg (M01AB),2015-06-05,5
Diclofenac 50mg (M01AB),2015-06-06,4
Diclofenac 50mg (M01AB),2015-06-07,6
Diclofenac 50mg (M01AB),2015-06-08,6
Diclofenac 50mg (M01AB),2015-06-09,3
Diclofenac 50mg (M01AB),2015-06-10,4
Diclofenac 50mg (M01AB),2015-06-11,6
Diclofenac 50mg (M01AB),2015-06-12,2
Diclofenac 50mg (M01AB),2015-06-13,2
Diclofenac 50mg (M01AB),2015-06-14,5
Diclofenac 50mg (M01AB),2015-06-15,4
Diclofenac 50mg (M01AB),2015-06-16,7
Diclofenac 50mg (M01AB),2015-06-17,4
Diclofenac 50mg (M01AB),2015-06-18,3
Diclofenac 50mg (M01AB),2015-06-19,5
Diclofenac 50mg (M01AB),2015-06-20,9
Diclofenac 50mg (M01AB),2015-06-21,9
Diclofenac 50mg (M01AB),2015-06-22,5
Diclofenac 50mg (M01AB),2015-06-23,5
Diclofenac 50mg (M01AB),2015-06-24,4
Diclofenac 50mg (M01AB),2015-06-25,6
Diclofenac 50mg (M01AB),2015-06-26,7
Diclofenac 50mg (M01AB),2015-06-27,7
Diclofenac 50mg (M01AB),2015-06-28,5
Diclofenac 50mg (M01AB),2015-06-29,6
Diclofenac 50mg (M01AB),2015-06-30,1
Diclofenac 50mg (M01AB),2015-07-01,9
Diclofenac 50mg (M01AB),2015-07-02,3
Diclofenac 50mg (M01AB),2015-07-03,6
Diclofenac 50mg (M01AB),2015-07-04,7
Diclofenac 50mg (M01AB),2015-07-05,5
Diclofenac 50mg (M01AB),2015-07-06,6
Diclofenac 50mg (M01AB),2015-07-07,5
Diclofenac 50mg (M01AB),2015-07-08,2
Diclofenac 50mg (M01AB),2015-07-09,2
Diclofenac 50mg (M01AB),2015-07-10,6
Diclofenac 50mg (M01AB),2015-07-11,4
Diclofenac 50mg (M01AB),2015-07-12,6
Diclofenac 50mg (M01AB),2015-07-13,4
Diclofenac 50mg (M01AB),2015-07-15,8
Diclofenac 50mg (M01AB),2015-07-16,8
Diclofenac 50mg (M01AB),2015-07-17,2
Diclofenac 50mg (M01AB),2015-07-18,4
Diclofenac 50mg (M01AB),2015-07-19,12
Diclofenac 50mg (M01AB),2015-07-20,6
Diclofenac 50mg (M01AB),2015-07-21,5
Diclofenac 50mg (M01AB),2015-07-22,9
Diclofenac 50mg (M01AB),2015-07-23,2
Diclofenac 50mg (M01AB),2015-07-24,6
Diclofenac 50mg (M01AB),2015-07-25,4
Diclofenac 50mg (M01AB),2015-07-26,5
Diclofenac 50mg (M01AB),2015-07-27,7
Diclofenac 50mg (M01AB),2015-07-28,14
Diclofenac 50mg (M01AB),2015-07-29,10
Diclofenac 50mg (M01AB),2015-07-30,3
Diclofenac 50mg (M01AB),2015-07-31,6
Diclofenac 50mg (M01AB),2015-08-01,5
Diclofenac 50mg (M01AB),2015-08-02,5
Diclofenac 50mg (M01AB),2015-08-03,2
Diclofenac 50mg (M01AB),2015-08-04,6
